﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
FREPILLON;87276659;JOB;2024-01-16;2024;H;H;De 10h à 16h;155
CONFLANS-FIN-D'OISE;87381459;DIM;2022-11-20;2022;A;A;De 10h à 16h;1080
VAL-DE-FONTENAY;87113712;JOB;2022-03-22;2022;E;E;De 16h à 20h;14227
DEUIL-MONTMAGNY;87276345;JOB;2024-01-16;2024;H;H;De 16h à 20h;992
VAUCRESSON;87382267;DIM;2024-01-21;2024;L;L2;De 10h à 16h;429
DEUIL-MONTMAGNY;87276345;JOB;2024-01-16;2024;H;H;De 6h à 10h;2474
VAUCRESSON;87382267;DIM;2024-01-21;2024;L;L2;De 6h à 10h;132
CONFLANS-FIN-D'OISE;87381459;SAM;2024-01-20;2024;J;J6;Avant 6h;8
GARGAN;87113860;DIM;2021-12-09;2021;T4;T4;De 10h à 16h;3316
EPINAY-SUR-ORGE;87545228;DIM;2025-09-02;2025;C;C;Après 20h;159
VERNEUIL-L'ETANG;87116079;JOB;2023-11-14;2023;P;P;De 16h à 20h;155
DRANCY;87271403;SAM;2019-03-16;2019;B;B;Avant 6h;390
GENNEVILLIERS;87271205;DIM;2025-09-02;2025;C;C;Après 20h;140
DREUX;87393488;DIM;2024-01-21;2024;N;N;De 16h à 20h;376
VERSAILLES-CHANTIERS;87393009;DIM;2025-09-02;2025;C;V;De 16h à 20h;406
DREUX;87393488;SAM;2024-01-20;2024;N;N;De 10h à 16h;496
GRAVIGNY-BALIZY;87393645;SAM;2024-11-30;2024;T12;T12;De 10h à 16h;216
EPINAY-VILLETANEUSE;87271122;JOB;2021-11-23;2021;T11;T11;Après 20h;377
VERSAILLES-CHATEAU-RIVE-GAUCHE;87393157;JOB;2025-11-02;2025;C;C;De 6h à 10h;2289
COUILLY-SAINT-GERMAIN-QUINCY;87116731;JOB;2023-09-19;2023;P;P;De 6h à 10h;111
GRIGNY-CENTRE;87681379;SAM;2024-02-03;2024;D;D;De 6h à 10h;1523
EPINAY-SUR-ORGE;87545228;DIM;2024-01-12;2024;T12;T12;Après 20h;97
VERT-GALANT;87271437;JOB;2023-10-10;2023;B;B;Avant 6h;439
EPINAY-SUR-SEINE;87271148;JOB;2025-06-02;2025;C;C;Avant 6h;186
GROS-NOYER-SAINT-PRIX;87276592;SAM;2024-01-20;2024;H;H;De 6h à 10h;331
ERAGNY-NEUVILLE;87381418;JOB;2024-01-16;2024;J;J6;De 10h à 16h;305
VILLABE;87681619;JOB;2024-02-04;2024;D;D;De 16h à 20h;99
EPINAY-SUR-SEINE;87271148;SAM;2025-08-02;2025;C;C;De 16h à 20h;843
VILLENEUVE-TRIAGE;87681809;DIM;2024-03-03;2024;D;D;De 16h à 20h;289
ERMONT-HALTE;87276584;SAM;2024-01-20;2024;H;H;De 6h à 10h;181
VILLENEUVE-TRIAGE;87681809;JOB;2024-05-03;2024;D;D;De 10h à 16h;649
ETRECHY;87545145;JOB;2025-06-02;2025;C;C;Après 20h;13
HOPITAL-DE-MONTFERMEIL;87704338;SAM;2021-09-18;2021;T4;T4;Avant 6h;3
ETRECHY;87545145;SAM;2025-08-02;2025;C;C;Après 20h;31
HOUILLES-CARRIERES-SUR-SEINE;87386409;JOB;2024-01-16;2024;L;L3;De 10h à 16h;250
DRANCY;87271403;SAM;2019-03-16;2019;B;B;De 16h à 20h;1858
VILLETANEUSE-UNIVERSITE;87697318;SAM;2021-11-20;2021;T11;T11;De 16h à 20h;451
ETRECHY;87545145;DIM;2025-09-02;2025;C;C;De 10h à 16h;178
INVALIDES;87393033;SAM;2025-08-02;2025;C;C;Après 20h;1576
ECOUEN-EZANVILLE;87276394;JOB;2024-01-16;2024;H;H;De 10h à 16h;665
VILLIERS-NEAUPHLE-PONTCHARTRAIN;87393884;JOB;2024-01-16;2024;N;N;De 10h à 16h;277
EVRY-COURCOURONNES;87681387;SAM;2024-02-03;2024;D;D;De 6h à 10h;1482
LA-FERTE-SOUS-JOUARRE;87116517;JOB;2023-09-19;2023;P;P;De 6h à 10h;1830
EVRY-VAL-DE-SEINE;87681361;DIM;2024-03-03;2024;D;D;Avant 6h;9
VILLIERS-NEAUPHLE-PONTCHARTRAIN;87393884;SAM;2024-01-20;2024;N;N;Après 20h;41
FOURQUEUX-BEL-AIR;87733675;JOB;2023-10-19;2023;T13;T13;Après 20h;38
LA-GARENNE-COLOMBES;87386003;DIM;2024-01-21;2024;L;L3;Après 20h;245
FAREMOUTIERS-POMMEUSE;87116277;DIM;2023-11-19;2023;P;P;Après 20h;10
VIRY-CHATILLON;87681312;JOB;2024-12-03;2024;D;D;Avant 6h;117
ACHERES-VILLE;87381657;JOB;2024-01-16;2024;L;L3;De 10h à 16h;130
LA-VERRIERE;87393256;DIM;2024-01-21;2024;N;N;De 10h à 16h;556
GARCHES-MARNES-LA-COQUETTE;87382259;DIM;2024-01-21;2024;L;L2;De 6h à 10h;149
EPINAY-VILLETANEUSE;87271122;SAM;2024-01-20;2024;H;H;De 10h à 16h;4841
LARDY;87545160;JOB;2025-11-02;2025;C;C;De 10h à 16h;154
GARGENVILLE;87381566;DIM;2024-01-21;2024;J;J6;Avant 6h;5
LE-BOURGET;87271395;DIM;2021-11-21;2021;T11;T11;Avant 6h;35
ARBORETUM;87704320;SAM;2021-09-18;2021;T4;T4;Avant 6h;1
ERAGNY-NEUVILLE;87381418;DIM;2024-01-21;2024;J;J6;De 16h à 20h;193
LE-BRAS-DE-FER;87681395;JOB;2024-05-03;2024;D;D;Après 20h;198
GARCHES-MARNES-LA-COQUETTE;87382259;JOB;2024-01-16;2024;L;L2;Avant 6h;22
LE-PERRAY;87393298;JOB;2024-01-16;2024;N;N;De 16h à 20h;257
AULNAY-SOUS-BOIS;87271411;DIM;2019-03-17;2019;B;B;De 10h à 16h;5859
LE-PERRAY;87393298;SAM;2024-01-20;2024;N;N;Avant 6h;16
GROS-NOYER-SAINT-PRIX;87276592;DIM;2024-01-21;2024;H;H;De 10h à 16h;528
EVRY-COURCOURONNES;87681387;SAM;2024-02-03;2024;D;D;Avant 6h;164
GROSLAY;87276360;SAM;2024-01-20;2024;H;H;De 16h à 20h;458
LE-VAL-D'OR;87382366;DIM;2024-01-21;2024;L;L2;Avant 6h;13
EVRY-VAL-DE-SEINE;87681361;SAM;2024-02-03;2024;D;D;Après 20h;50
HERBLAY;87381889;DIM;2024-01-21;2024;J;J6;De 10h à 16h;1059
LES-GRESILLONS;87272146;DIM;2025-09-02;2025;C;C;Après 20h;178
AUVERS-SUR-OISE;87276543;SAM;2024-01-20;2024;H;H;De 6h à 10h;22
LES-GRESILLONS;87272146;SAM;2025-08-02;2025;C;C;De 6h à 10h;410
FONTAINE-LE-PORT;87682427;SAM;2024-01-20;2024;R;R;De 10h à 16h;25
LES-NOUES;87276238;SAM;2024-02-03;2024;D;D;De 6h à 10h;381
BAGNEAUX-SUR-LOING;87684191;JOB;2024-01-16;2024;R;R;De 6h à 10h;64
LES-PAVILLONS-SOUS-BOIS;87113852;JOB;2021-09-21;2021;T4;T4;De 16h à 20h;1014
GARANCIERES-LA-QUEUE;87393439;JOB;2024-01-16;2024;N;N;De 16h à 20h;90
BELLEVUE;87393116;DIM;2024-01-21;2024;N;N;De 16h à 20h;297
LIANCOURT-SAINT-PIERRE;87381210;DIM;2024-01-21;2024;J;J6;De 6h à 10h;1
ISSOU-PORCHEVILLE;87381574;SAM;2024-01-20;2024;J;J6;Avant 6h;3
LIMAY;87381582;JOB;2024-01-16;2024;J;J6;De 6h à 10h;409
JUVISY;87545244;DIM;2025-09-02;2025;C;C;Avant 6h;198
LIZY-SUR-OURCQ;87116632;JOB;2023-09-19;2023;P;P;De 16h à 20h;104
JUVISY;87545244;SAM;2024-02-03;2024;D;D;Avant 6h;146
JUVISY;87545244;SAM;2025-08-02;2025;C;C;De 10h à 16h;7604
LOUVECIENNES;87382457;SAM;2024-01-20;2024;L;L2;De 16h à 20h;249
GUERARD-LA-CELLE-SUR-MORIN;87116269;DIM;2023-11-19;2023;P;P;De 6h à 10h;6
HAUSSMANN-SAINT-LAZARE;87281899;JOB;2022-03-22;2022;E;E;Après 20h;5434
LYCEE-HENRI-SELLIER;87988717;JOB;2021-09-21;2021;T4;T4;De 10h à 16h;734
HERICY;87682435;DIM;2024-01-21;2024;R;R;Après 20h;4
L'ISLE-ADAM-PARMAIN;87276527;JOB;2024-01-16;2024;H;H;Avant 6h;43
MANTES-STATION;87381590;DIM;2021-05-12;2021;J;J5;Avant 6h;13
L'ISLE-ADAM-PARMAIN;87276527;JOB;2024-01-16;2024;H;H;De 10h à 16h;386
MAREIL-SUR-MAULDRE;87381715;JOB;2024-01-16;2024;N;N;De 6h à 10h;106
HOUILLES-CARRIERES-SUR-SEINE;87386409;JOB;2022-11-30;2022;A;A;De 16h à 20h;3703
MAREUIL-SUR-OURCQ;87116665;SAM;2023-09-16;2023;P;P;De 10h à 16h;34
BOURAY;87545178;JOB;2025-06-02;2025;C;C;Après 20h;23
MARLES-EN-BRIE;87116228;JOB;2023-11-14;2023;P;P;De 16h à 20h;70
IGNY;87393561;SAM;2025-08-02;2025;C;V;Après 20h;26
MAROLLES-EN-HUREPOIX;87545186;JOB;2025-04-02;2025;C;C;Avant 6h;61
